City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Sarangani,PH,82.71,light rain,5.4,125.46,Ballistic Islet
6,Rio Branco,BR,77.0,shower rain,-9.97,-67.81,João Paulo Hotel
8,Kloulklubed,PW,83.19,overcast clouds,7.04,134.26,Storyboard Beach Resort
10,Rikitea,PF,76.55,light rain,-23.12,-134.97,Pension Maro'i
23,Camocim,BR,86.7,overcast clouds,-2.9,-40.84,Hotel Ilha do Amor
24,Vaini,TO,75.2,few clouds,-21.2,-175.2,Keleti Beach Resort
26,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
27,Ende,ID,79.59,light rain,-8.84,121.66,Dwi Putra Hotel - Ende
30,Butaritari,KI,81.72,light rain,3.07,172.79,Isles Sunset Lodge
34,Atuona,PF,78.84,clear sky,-9.8,-139.03,Villa Enata
40,Saint-Philippe,RE,75.2,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
43,Luanda,AO,80.6,broken clouds,-8.84,13.23,EPIC SANA Luanda
46,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
50,Vangaindrano,MG,75.22,light rain,-23.35,47.6,Hotel Fanilo
55,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
58,Carutapera,BR,84.18,scattered clouds,-1.2,-46.02,Lidera
59,Bambous Virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
60,Sao Joao Da Barra,BR,82.4,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
62,Champerico,GT,87.8,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
73,Key West,US,81.0,broken clouds,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
77,Mar Del Plata,AR,80.6,overcast clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
79,Namatanai,PG,79.52,overcast clouds,-3.67,152.43,Namatanai Hotel
80,Cayenne,GF,82.4,light rain,4.93,-52.33,Hôtel Le Dronmi
83,Talara,PE,78.8,clear sky,-4.58,-81.27,Hostal Oro Negro
86,Cabo San Lucas,MX,77.0,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
90,Sola,VU,79.38,light rain,-13.88,167.55,Ulkel Guest House
96,Manta,EC,78.8,few clouds,-0.95,-80.73,Balandra Hotel
99,Hithadhoo,MV,81.79,broken clouds,-0.6,73.08,Scoop Guest House
103,Eyl,SO,77.29,clear sky,7.98,49.82,Amiin Hotel
106,Salalah,OM,78.8,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
107,Sao Filipe,CV,75.7,overcast clouds,14.9,-24.5,Tortuga B&B
111,Mount Isa,AU,77.0,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
112,Nampula,MZ,80.6,broken clouds,-15.12,39.27,Tacab Residencial
121,Caravelas,BR,79.66,broken clouds,-17.71,-39.25,Pousada dos Navegantes
129,Alyangula,AU,75.2,mist,-13.85,136.42,Groote Eylandt Lodge
133,Lufilufi,WS,80.6,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
135,Poum,NC,75.33,clear sky,-20.23,164.02,Gîte kajeon
136,Harper,LR,79.59,clear sky,4.38,-7.72,Screensaver
146,Banda Aceh,ID,77.81,moderate rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
153,Chuy,UY,77.47,moderate rain,-33.7,-53.46,Nuevo Hotel Plaza
159,Ixtapa,MX,80.6,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
175,Richards Bay,ZA,78.55,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
178,Nuevo Progreso,MX,84.0,scattered clouds,23.17,-97.95,Balneario Rio el Paraiso
180,Cururupu,BR,86.27,overcast clouds,-1.83,-44.87,Pousada Través'cia
184,Muisne,EC,82.4,overcast clouds,0.6,-80.03,Quinta Samay
192,Vallenar,CL,86.09,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
193,Kano,NG,78.8,clear sky,12.0,8.52,La Sultana Hotel
196,Gabaldon,PH,75.54,heavy intensity rain,15.45,121.34,Leivy Lance Resort
197,Djibo,BF,81.0,clear sky,14.1,-1.63,Centre Des Ressources DPENA
205,Castro,BR,75.51,broken clouds,-24.79,-50.01,CHACARA BAILLY
217,Dingle,PH,75.7,overcast clouds,11.0,122.67,SEGAYA PROPERTY
218,Arraial Do Cabo,BR,82.4,clear sky,-22.97,-42.03,Pousada Porto Praia
220,Saint-Joseph,RE,75.2,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
229,Port-Gentil,GA,80.6,few clouds,-0.72,8.78,Fengshui Residence
230,Takoradi,GH,79.57,light rain,4.88,-1.76,Raybow International Hotel
234,Kavaratti,IN,82.17,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
236,Sehithwa,BW,80.2,light rain,-20.47,22.72,MONLEK GUEST HOUSE
237,Araceli,PH,82.87,broken clouds,10.55,119.99,JBryan Traveler's Inn
252,Sinazongwe,ZM,81.57,broken clouds,-17.26,27.46,Lakeview Lodge
262,Yulara,AU,84.2,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
263,Neuquen,AR,86.0,clear sky,-38.95,-68.06,Hotel del Comahue
269,Virarajendrapet,IN,78.8,mist,12.2,75.8,Orchid Inn
275,Pio Ix,BR,88.84,overcast clouds,-6.84,-40.58,Hotel Central
277,Veraval,IN,77.45,clear sky,20.9,70.37,Lords Inn Somnath
280,Leo,BF,87.39,overcast clouds,11.1,-2.1,Hotel Sissilis
283,Quatre Cocos,MU,75.2,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
285,Maumere,ID,81.77,moderate rain,-8.62,122.21,Sylvia Hotel
287,Labuhan,ID,79.05,overcast clouds,-6.88,112.21,bador sepret
292,Kudahuvadhoo,MV,82.94,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
297,Natitingou,BJ,78.8,few clouds,10.3,1.38,Auberge Centrale
298,Meulaboh,ID,75.25,light rain,4.14,96.13,Kost Pria
299,Porto Novo,BJ,82.4,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
301,La Asuncion,VE,87.8,scattered clouds,11.03,-63.86,Colinas de Matasiete
303,Flinders,AU,84.0,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
311,Kiama,AU,84.0,overcast clouds,-34.68,150.87,The Sebel Kiama Harbourside
312,Kanluran,PH,78.8,scattered clouds,14.42,120.85,Mount Sea Resort
313,Lorengau,PG,82.33,light rain,-2.02,147.27,Lorengau Harbourside Hotel
316,Wewak,PG,77.85,light rain,-3.55,143.63,In Wewak Boutique Hotel
321,Faanui,PF,80.67,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
322,Matara,LK,76.55,overcast clouds,5.95,80.54,Amaloh Boutique Resort
325,Ogaminana,NG,82.87,clear sky,7.59,6.22,Mashida Guest House
330,Buenaventura,CO,84.22,light rain,3.88,-77.03,VILLA FAMILIAR EN LA BARRA / GRACE VILLAGES
333,Panaba,MX,83.62,clear sky,21.28,-88.27,Hotel Amor
335,Rocha,UY,79.84,broken clouds,-34.48,-54.33,Beleza Pura B&B
337,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
341,Acapulco,MX,86.0,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
347,Buala,SB,81.5,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
349,Uruacu,BR,87.19,broken clouds,-14.52,-49.14,Super Pesca iscas vivas
353,Viedma,AR,82.0,scattered clouds,-40.81,-63.0,Hotel Cristal
360,Todos Santos,MX,78.01,clear sky,23.45,-110.22,Hotel California Todos Santos
361,Ambilobe,MG,75.56,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
362,Makakilo City,US,75.2,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
363,Bandarbeyla,SO,76.53,clear sky,9.49,50.81,JABIR HOTEL
366,Morant Bay,JM,86.0,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
372,Kalmunai,LK,78.76,overcast clouds,7.42,81.82,VS Villa
373,Tamandare,BR,80.31,overcast clouds,-8.76,-35.1,Pousada 100 Passos
375,Avarua,CK,78.8,broken clouds,-21.21,-159.78,Paradise Inn
387,Padang,ID,77.07,moderate rain,-0.95,100.35,Mercure Padang
390,Vila Do Maio,CV,77.0,broken clouds,15.13,-23.22,Residence 'I Delfini'
396,Miranda,CO,86.0,scattered clouds,3.25,-76.23,Parqueadero toño lasso
399,Port Blair,IN,80.56,overcast clouds,11.67,92.75,Fortune Resort Bay Island
401,Sulangan,PH,82.09,scattered clouds,11.14,123.72,Maia's Beach Resort
402,Qui Nhon,VN,75.78,moderate rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
405,Axim,GH,79.5,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
408,Guarapari,BR,80.6,broken clouds,-20.67,-40.5,Hotel Porto do Sol
409,Olinda,BR,82.4,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
415,Tabou,CI,79.7,clear sky,4.42,-7.35,hotêl doufoulougou
417,Medeiros Neto,BR,80.29,few clouds,-17.37,-40.22,Pousada Visgueira
419,Sinnamary,GF,83.46,heavy intensity rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
426,Country Club,US,81.0,overcast clouds,25.95,-80.32,Hampton Inn & Suites Ft. Lauderdale/Miramar
432,Ailigandi,PA,82.56,light rain,9.23,-78.02,Akwa Reef Lodge
435,Sechura,PE,78.04,few clouds,-5.56,-80.82,Hospedaje Costa Bella
438,Karratha,AU,77.81,clear sky,-20.74,116.85,ibis Styles Karratha
439,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
442,Lake City,US,75.99,overcast clouds,30.19,-82.64,Ramada Limited Lake City
444,Iguape,BR,79.12,overcast clouds,-24.71,-47.56,Hotel Pousada Nossa Senhora do Carmo
446,Mareeba,AU,75.2,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
451,Ipixuna,BR,87.8,scattered clouds,-1.76,-48.8,Casa da Oscarina
464,Alofi,NU,77.0,light rain,-19.06,-169.92,Taloa Heights
465,Tiarei,PF,84.2,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
466,Ambon,ID,82.99,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
476,Dhidhdhoo,MV,82.67,broken clouds,6.88,73.1,Dhidhoo beach
477,Kathu,TH,78.8,moderate rain,7.92,98.33,Novotel Phuket Resort
485,San Policarpo,PH,80.67,broken clouds,12.18,125.51,JM Lodge
491,Mattru,SL,76.68,overcast clouds,7.62,-11.83,"Mondkor Town, Bagbo Chiefdom, Bo District"
492,Marawi,PH,75.0,overcast clouds,8.0,124.29,Derogongan Residence
493,Imbituba,BR,82.4,scattered clouds,-28.24,-48.67,Praia Hotel Imbituba
495,San Fernando,PH,75.2,light rain,15.03,120.69,Maharlika Hostel
500,Magaria,NE,76.53,clear sky,13.0,8.91,Chez Honorable Chapiou
503,Tete,MZ,83.7,broken clouds,-16.16,33.59,Zambeze Paraíso Misterioso
515,Gizo,SB,82.49,light rain,-8.1,156.84,Imagination Island
516,Katobu,ID,76.91,light rain,-4.94,122.53,La Ode Husein
518,Vila Velha,BR,80.6,broken clouds,-20.33,-40.29,Hotel Vitória Palace
523,Bitung,ID,75.2,scattered clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
524,Outram,MY,78.8,broken clouds,1.28,103.84,Grand Copthorne Waterfront
525,Iralaya,HN,82.58,clear sky,15.0,-83.23,Iglesia morava renovada
526,Conde,BR,86.0,few clouds,-7.26,-34.91,Pousada Beija Flor
532,Manavalakurichi,IN,82.4,mist,8.13,77.3,Udaya Boys Hostel
535,Tema,GH,82.4,few clouds,5.67,-0.02,Beulah Royale
536,Bireun,ID,77.09,light rain,5.2,96.7,OYO 2303 Hotel Blang Raya
545,Kavieng,PG,82.78,overcast clouds,-2.57,150.8,Nusa Island Retreat
550,Ratnagiri,IN,76.26,clear sky,16.98,73.3,Hotel Landmark
551,Inirida,CO,77.13,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
553,Yanam,IN,75.88,light rain,16.73,82.22,The Regency Hotel
554,Daru,PG,78.57,overcast clouds,-9.08,143.21,New century hotel
555,Pitimbu,BR,86.0,few clouds,-7.47,-34.81,Reserva do Abiaí
556,Puerto Narino,CO,80.6,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
560,Hobyo,SO,79.99,clear sky,5.35,48.53,Halane Hotel and Restaurent
562,Wahiawa,US,75.2,clear sky,21.5,-158.02,Aloha Wahiawa
564,Saint-Pierre,RE,75.2,clear sky,-21.34,55.48,Lindsey Hôtel
566,Ahuimanu,US,78.8,few clouds,21.44,-157.84,Paradise Bay Resort
572,Road Town,VG,84.2,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
573,Barra Bonita,BR,89.22,moderate rain,-22.49,-48.56,Hotel Beira Rio
577,Abu Dhabi,AE,75.2,clear sky,24.47,54.37,Beach Rotana
580,Sumbe,AO,78.58,overcast clouds,-11.21,13.84,Hotel Ritz Sumbe
582,Le Vauclin,MQ,84.2,broken clouds,14.55,-60.84,Hôtel Cap Macabou
598,Vanimo,PG,78.31,heavy intensity rain,-2.67,141.3,Vahmoneh Lodge Vanimo
600,Santiago De Cuba,CU,84.2,scattered clouds,20.02,-75.82,Cubanacan San Felix
614,Altamira,BR,87.8,broken clouds,-3.2,-52.21,Requinte Hotel
620,Dzaoudzi,YT,78.8,clear sky,-12.79,45.27,Le Rocher
627,Rock Sound,BS,76.68,clear sky,24.9,-76.2,Rock Sound Club
628,Praia,CV,77.0,broken clouds,14.92,-23.51,LT Aparthotel
637,Zaraza,VE,84.27,moderate rain,9.35,-65.32,Hotel Zaraza
638,Minna,NG,81.73,clear sky,9.61,6.56,Royal Park hotel & suites
645,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
650,Isla Mujeres,MX,82.4,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
654,Ilhabela,BR,78.8,scattered clouds,-23.78,-45.36,Ilha Flat Hotel
657,The Valley,AI,87.8,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
659,Gambela,ET,83.19,clear sky,8.25,34.58,Solomon Debebe Hotel
660,Conceicao Do Araguaia,BR,89.01,light rain,-8.26,-49.26,Tarumã Tropical Hotel
668,Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Atlantis Hotel
676,Laem Sing,TH,77.0,clear sky,12.48,102.07,Laemsing Whitehouse Resort
679,Bolgatanga,GH,85.12,scattered clouds,10.79,-0.85,Mama's Place
688,Port Hedland,AU,78.8,clear sky,-20.32,118.57,The Esplanade Hotel
